voterIds,owner
6,0xf7B14D1c8a3eCa7A4d7cc8F9C8cA5B0d36822865
14,0xE3b2F16a52671AF6a5d498D3CfDcCCdC2Ad0D58f
7,0x2836125d06212b887f74428C0001AE3e6faFa135
4,0x7D415A8149741f668B114AB41aA44bA3878e108b
10,0x99CCF0db7783927E9a1Ad324e99b6964C587024A
1,0xE890EB333d154fBb4242327228d3fFce125A5867
1,0x528FDadcC203782CCA04e5fDE6a609f419ba1b92
1,0xF2457b926a2F5879BeFa06C0d7EB6b7fd20E0990
10,0x805Ed1Ad073eD9A6D9d9105D5F3BbF8eac8C2AB5
2,0xED6F4Cd9288FB42F9E119F663B810bE25E857D0B
2,0x8E9Ab8D3Ca62B783FAb5e50F7015900A78cE734b
1,0xC72362DEb3572D3B334fDA7A8B2f0188bF27c6a1
3,0x248589203C6aA373A77EaF1f172f6f33049f7c3d
1,0x55ebd88192BA046E10b456E30c95eC8735ae4C37
3,0x38dAeCF70b224dFd3b419B19F5302a156B7cbC4B
1,0xc0d39bCC0a021CFb5dB2b8CEDb160E4EA0Ff5176
50,0x342996D8EAC41fb5ea4ab781863eA66C230C39EA
1,0x305a45d8F6d22F14046305926AA84024FE22660C
1,0x6aE84EBeF54FDf7705ddDE7b20AD258f7769C91A
15,0xed356955A4AF05D83fa553871c67aF147e14ca3E
1,0x478Afeb45241020389F3194cB2E9a6ff5E317733
6,0x5bEE938736df6cb720D54Db2dFb1e17786CAa318
1,0x3A1E9E54F4D708E3ACBDb2CFaa3eC94f34B9b02e
2,0xE393c2935e11B954d7A2Ae46afd675609Fae6dF1
1,0x74f0ef88878bAd5c38EE76144ebB723C94E25A86
